"Fructose 1,6-diphosphate","Fructose 1,6-diphosphate;Fructose-1,6-diphosphate;D-Fructose 1,6-biphosphate;Fructose 1,6-bisphosphate",,,,,,,,,,
3-hydroxyisobutyrate,3-hydroxyisobutyrate;3-hydroxybutyric acid,,,,,,,,,,
Fructose 1-phosphate,Fructose 1-phosphate;Fructose-1-phosphate,,,,,,,,,,
glucose 1-phosphate,glucose 1-phosphate;Glucose-1-phosphate;D-glucose-1-P;Glucose monophosphate,,,,,,,,,,
acetylcarnitine,acetylcarnitine;O-Acetylcarnitine,,,,,,,,,,
3-Oxoalanine,3-Oxoalanine,,,,,,,,,,
2-hydroxyglutarate,2-hydroxyglutarate;2-Hydroxyglutaric acid,,,,,,,,,,
Ketovaline,Ketovaline;3-methyl-2-oxobutyrate;2-Oxoisovaleric acid,,,,,,,,,,
2-phosphoglycerate,2-phosphoglycerate;2-Phosphoglyceric acid,,,,,,,,,,
"2,3-diphosphoglycerate","2,3-diphosphoglycerate;2,3-Diphosphoglyceric acid",,,,,,,,,,
2-oxoadipate,2-oxoadipate,,,,,,,,,,
Acetoacetic acid,Acetoacetic acid,,,,,,,,,,
3-phosphoserine,3-phosphoserine,,,,,,,,,,
Hydrocinnamate,Hydrocinnamate,,,,,,,,,,
cysteine sulfinic acid,cysteine sulfinic acid,,,,,,,,,,
3-ureidopropionate,3-ureidopropionate,,,,,,,,,,
gamma-aminobutyrate,gamma-aminobutyrate;4-aminobutyric acid;gamma-Aminobutyric acid;GABA;4-aminobutyrate,,,,,,,,,,
4-hydroxybenzyl alcohol,4-hydroxybenzyl alcohol,,,,,,,,,,
4-hydroxyphenylacetic acid,4-hydroxyphenylacetic acid;4-hydroxyphenylacetate,,,,,,,,,,
gamma-Butyrobetaine,gamma-Butyrobetaine;deoxycarnitine,,,,,,,,,,
5-aminovaleric acid,5-aminovaleric acid;5-Aminovaleric acid;5-aminovalerate,,,,,,,,,,
5-keto-D-gluconate,5-keto-D-gluconate;5-Keto-D-Gluconate,,,,,,,,,,
Acetamide,Acetamide,,,,,,,,,,
acetylphosphate,acetylphosphate,,,,,,,,,,
adenine,adenine;Adenine,,,,,,,,,,
Adenylosuccinic acid,Adenylosuccinic acid;adenylosuccinate,,,,,,,,,,
adipate,adipate;Adipic acid,,,,,,,,,,
agmatine,agmatine,,,,,,,,,,
allantoin,allantoin;Allantoin,,,,,,,,,,
Anthranilic acid,Anthranilic acid;anthranilate,,,,,,,,,,
beta-alanine,beta-alanine;b-alanine;b-Alanine;beta-Ala;Beta-alanine,,,,,,,,,,
benzoate,benzoate,,,,,,,,,,
Benzoic acid,Benzoic acid,,,,,,,,,,
betaine,betaine;Betaine,,,,,,,,,,
Betaine aldehyde,Betaine aldehyde,,,,,,,,,,
dihydrobiopterin,dihydrobiopterin,,,,,,,,,,
cadaverine,cadaverine,,,,,,,,,,
Carbamoylphosphate,Carbamoylphosphate,,,,,,,,,,
N-Carbamoylaspartic acid,N-Carbamoylaspartic acid;N-carbamoylaspartate,,,,,,,,,,
carnitine,carnitine,,,,,,,,,,
Catechol,Catechol,,,,,,,,,,
lactose,lactose;maltose,6134,10991489,45109807,46936190,439341,6255,,,,
choline,choline;Choline,,,,,,,,,,
citrate,citrate;Citric acid;Citrate,,,,,,,,,,
coenzyme A,coenzyme A;CoA,444624,445126,448506,5326877,6914636,44216777,44246472,91746167,122197650,122705814
4-hydroxyMandelate,4-hydroxyMandelate;4-hydroxymandelate,,,,,,,,,,
salicylate,salicylate,,,,,,,,,,
Ciliatine,Ciliatine;n-caprylic acid;n-Caprylic acid;Octanoic acid,,,,,,,,,,
3-hydroxy-butyrate,3-hydroxy-butyrate;3-Hydroxy-Butyrate;3-hydroxybutyrate,,,,,,,,,,
1-methylnicotinamide,1-methylnicotinamide;1-Methylnicotinamide,,,,,,,,,,
palmitoylcarnitine,palmitoylcarnitine;L-Palmitoylcarnitine;Palmitoylcarnitine,,,,,,,,,,
hippurate,hippurate;Hippurate;Hippuric acid;,,,,,,,,,,
2-aminoadipate,2-aminoadipate;2-Aminoadipic acid,,,,,,,,,,
methylmalonate,methylmalonate,,,,,,,,,,
4-guanidinobutanoate,4-guanidinobutanoate,,,,,,,,,,
2-methylcitrate,2-methylcitrate,,,,,,,,,,
malate,malate;Malic acid,,,,,,,,,,
stachydrine,stachydrine,,,,,,,,,,
6-Aminohexanoic acid,6-Aminohexanoic acid,,,,,,,,,,
creatine,creatine;CREATINE;Creatine,,,,,,,,,,
Creatinine,Creatinine;creatinine,,,,,,,,,,
cystine,cystine;Cystine,,,,,,,,,,
fmethionine,Cytosine;cytosine,,,,,,,,,,
alanylalanine,alanylalanine,,,,,,,,,,
alanine,"alanine;L-alanine;56-41-7;alanine;(S)-2-Aminopropanoic acid;L-alpha-alanine;(S)-Alanine;H-Ala-OH;L-2-Aminopropionic acid;(2S)-2-Aminopropanoic acid;L-(+)-Alanine;L-2-Aminopropanoic acid;2-Aminopropionic acid;alpha-Alanine;L-alpha-Aminopropionic acid;alpha-Aminopropionic acid;L-2-Aminopropionsaeure;Alaninum [Latin];(S)-(+)-Alanine;L-S-Aminopropionic acid;(L)-Alanine;Alanine (VAN);(S)-2-Aminopropionsaeure;Poly-L-alanine;2-Aminopropanoic acid, L-;L-Alanin;(S)-alpha-Aminopropionsaeure;Alanine [USAN:INN];Alanina [DCIT,Spanish];ALANINE, L-;a-Alanine;L-a-Aminopropionic acid;L-a-Alanine;a-Aminopropionic acid;Propanoic acid, 2-amino-, (S)-;HSDB 1801;UNII-OF5P57N2ZX;(S)-2-Aminopropionic acid;MFCD00064410;NSC 206315;EINECS 200-273-8;OF5P57N2ZX;L-.alpha.-Aminopropionic acid;CHEMBL279597;CHEBI:16977;QNAYBMKLOCPYGJ-REOHCLBHSA-N;Alanine (L-Alanine);LPG;polyalanine;L-Alanine, 99%;Alaninum;Poly-DL-alanine;14C-L-Alanine;(C14)L-Alanine;.alpha.-Alanine;L-.alpha.-Alanine;L-Alanine, N-coco alkyl derivs.;L-&alpha-alanine;18875-37-1;Alanine (USP);L-Alanine (9CI);2-Ammoniopropanoate;Propanoic acid, 2-amino-;L-ALANINE U.S.P.;.alpha.-Aminopropionic acid;L-Alanine, homopolymer;L-Alanine, labeled with carbon-14;Ritalanine;Racemic alanine;L-Alanine, 99%, specified according to the requirements of Ph.Eur.;a-Aminopropionate;L-Alanine, labeled with tritium;3h-l-alanine;Propanoic acid, 2-amino-, (S);[3H]alanine;L-a-Aminopropionate;L-Ala;[14C]alanine;[3H]-alanine;alpha-Aminopropanoate;alpha-Aminopropionate;L-2-Aminopropanoate;L-2-Aminopropionate;L-Alanine,(S);[14C]-alanine;(S)-()-Alanine;L-alpha-Aminopropionate;PubChem12862;Tocris-0205;2-Ammoniopropanoic acid;ALA-OH;L-Alanine (JP17);(S)-2-Aminopropanoate;alpha-Aminopropanoic acid;AC1L1LHC;(S)-2-amino-Propanoate;L-Alanine, >=99%;bmse000028;bmse000994;EC 200-273-8;L-CH3CH(NH2)COOH;AC1Q29HA;AC1Q29HB;GTPL720;(S)-2-amino-Propanoic acid;130380-93-7;KSC269I4B;(2S)-2-azanylpropanoic acid;Alanine, L- (7CI,8CI);AC1Q297C;GTPL4542;GTPL4543;CTK1G9440;L-Alanine, Cell Culture Reagent;L-Alanine, >=98% (TLC);L-Alanine, 99%, natural, FG;F4F207FF-8FF8-4789-99A1-147AE0A36673;HY-N0229;KS-000001XZ;ZINC4658553;L-Alanine, >=99.0% (NT);AC-014;ANW-32509;BDBM50000099;AKOS010367904;AKOS015840030;AB02601;CS-W020002;DB00160;MCULE-7791919887;RP09083;RP17850;RTC-066531;L-Alanine, purum, >=98.0% (NT);NCGC00024494-01;25191-17-7;AC-24031;AJ-51835;AN-16209;BC677968;BP-13281;BR-49082;LS-15737;SC-09272;L-Alanine, BioUltra, >=99.5% (NT);AB0052222;AB1002630;DB-029940;L-Alanine, SAJ special grade, >=99.0%;ST2413186;TC-066531;A0179;AM20100374;FT-0627654;FT-0657966;C00041;D00012;M-5982;31279-EP2274983A1;31279-EP2308858A1;31279-EP2311816A1;31279-EP2311817A1;34146-EP2289892A1;34146-EP2301939A1;34146-EP2305687A1;34146-EP2311850A1;064A410;A803529;SR-01000597687;I04-1136;J-015860;Q-201274;SR-01000597687-3;(S)-2-Aminopropionic acid; L-|A-Aminopropionic acid;L-Alanine, certified reference material, TraceCERT(R);Alanine, European Pharmacopoeia (EP) Reference Standard;F0001-2354;Z940713326;UNII-1FU7983T0U component QNAYBMKLOCPYGJ-REOHCLBHSA-N;L-Alanine, United States Pharmacopeia (USP) Reference Standard;L-Alanine, Pharmaceutical Secondary Standard; Certified Reference Material;115967-49-2;77160-91-9;L-Alanine, from non-animal source, meets EP, USP testing specifications, suitable for cell culture, >=98.5%;L-Alanine, PharmaGrade, Ajinomoto, EP, JP, USP, manufactured under appropriate GMP controls for Pharma or Biopharmaceutical production, suitable for cell culture;DL-ALANINE;302-72-7;alanine;2-Aminopropanoic acid;Alanine, DL-;DL-alpha-Alanine;D,L-Alanine;DL-2-Aminopropionic acid;(R,S)-Alanine;DL-2-Aminopropanoic acid;H-DL-Ala-OH;alanina;(+-)-Alanine;(RS)-2-Aminopropionsaeure;DL-alpha-Aminopropionic acid;(+-)-2-Aminopropionic acid;alanin;NSC 7602;MFCD00064408;DL-.alpha.-Alanine;AI3-08908;2-amino-propionic acid;(.+/-.)-Alanine;EINECS 206-126-4;dl-.alpha.-Aminopropionic acid;(+/-)-2-Aminopropionic acid;CHEBI:16449;NSC7602;QNAYBMKLOCPYGJ-UHFFFAOYSA-N;DL-Alanine, 99%;E639;.alpha.-Alanine;L-.alpha.-Alanine;D(-)-.alpha.-Alanine;Propanoic acid, 2-amino-;L-ALANINE U.S.P.;.alpha.-Aminopropionic acid;laevo-alanine;l alanine;CCRIS 8596;L-Isomer alanine;Alanine #;Alanine, L isomer;Alanine, L-isomer;(DL)-Alanine;dextro,laevo-alanine;DL-Ala;L(+)-Alanine;ALANINE, .alpha.;ALANINE, ALPHA;PubChem11009;2-Amino propanoic acid;ACMC-209lsf;ACMC-1BLXS;(.+-.)-Alanine;AC1Q1LFF;L-|A-Aminopropionic acid;ACMC-209i3j;bmse000282;AC1L19LJ;2-alpha-Aminopropionic Acid;L-ALANINE EXTRA PURE;DL-Aminopropionic Acid,(S);KSC207A5F;CHEMBL12198;AC1Q2B62;ARONIS005074;DL-Alanine, FCC, >=99%;DTXSID6031255;CTK1A7052;DL-Alanine, >=99% (HPLC);ACT07794;BCP26675;KS-00003XP4;NSC-7602;ANW-26809;DL-Alanine, >=99%, FCC, FG;NSC158286;NSC206315;STK125106;AKOS000119663;AKOS016039389;AKOS024264604;LS-2384;MCULE-4751903561;NE11130;NSC-158286;NSC-206315;RP17835;RTC-066634;TRA0028362;TRA0062051;TRA0127705;AK-47635;AK-49082;AK-51497;AN-23372;SC-09271;SY002277;AB1006908;DB-029692;ST2419261;TC-066634;TL8007002;A0178;AM20090411;DL-Alanine, Vetec(TM) reagent grade, 98%;FT-0625415;FT-0625418;MFCD00008077 (98%);2056-EP2269979A1;2056-EP2270018A1;2056-EP2272516A2;2056-EP2277867A2;2056-EP2279741A2;2056-EP2280003A2;2056-EP2284157A1;2056-EP2284178A2;2056-EP2284179A2;2056-EP2287152A2;2056-EP2287165A2;2056-EP2287166A2;2056-EP2287167A1;2056-EP2289892A1;2056-EP2289893A1;2056-EP2292088A1;2056-EP2292589A1;2056-EP2292620A2;2056-EP2295055A2;2056-EP2295410A1;2056-EP2295550A2;2056-EP2298768A1;2056-EP2298780A1;2056-EP2301939A1;2056-EP2305657A2;2056-EP2305687A1;2056-EP2305689A1;2056-EP2305695A2;2056-EP2305696A2;2056-EP2305697A2;2056-EP2305698A2;2056-EP2305808A1;2056-EP2308847A1;2056-EP2311453A1;2056-EP2311850A1;2056-EP2314579A1;2056-EP2314585A1;2056-EP2316470A2;2056-EP2374792A1;A15652;C01401;302A727;L001042;( inverted exclamation markA)-2-Aminopropionic acid;I04-0184;I04-0233;I04-0238;Q-101653;Z57396987;( inverted exclamation markA)-2- degrees +/->>u+/-uEa;F1652-0639;915B7CC8-31B0-4478-904B-D54B7ECC1E4D;(a-D-Mannosyl)7-b-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform a (protein);(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-alanine;338-69-2;H-D-Ala-OH;(2R)-2-aminopropanoic acid;(R)-Alanine;(R)-2-aminopropanoic acid;D-Ala;D-2-Aminopropionic acid;D-alpha-Alanine;Alanine, D-;Alanine D-form;D-Alanin;(R)-2-Aminopropionic acid;D-alpha-Aminopropionsaeure;(R)-2-Aminopropionsaeure;Ba 2776;D-alpha-aminopropionic acid;alanine;UNII-E3UDS4613U;MFCD00008077;D-.alpha.-Alanine;D-(-)-Alanine;CHEMBL66693;E3UDS4613U;CHEBI:15570;QNAYBMKLOCPYGJ-UWTATZPHSA-N;DAL;NCGC00024493-02;D-Alanine, 99+%;DSSTox_CID_25649;DSSTox_RID_81027;DSSTox_GSID_45649;CAS-338-69-2;D(-)-.alpha.-Alanine;delta-Alanine;(D)-alanine;delta-alpha-Alanine;EINECS 206-418-1;3h-d-ala;delta-(-)-Alanine;NSC 158286;D(-)-alpha-Alanine;D(-)-a -Alanine;PubChem11002;Tocris-0204;D-Alanine, >=99%;bmse000236;AC1L2FI4;delta-2-Aminopropionic acid;(R)-2-amino propionic acid;KSC222K7B;AC1Q5R09;GTPL4678;(2R)-2-(amino)propanoic acid;DTXSID3045649;CTK1C2570;D-Alanine, >=98% (HPLC);AC1Q2982;ACT07928;KS-000000XL;ZINC4658556;Tox21_110903;ANW-27725;BDBM50000109;AKOS015840336;Tox21_110903_1;CS-W020127;DB01786;MCULE-3571488623;RTC-066633;(R)-(-)-2-AMINOPROPIONIC ACID;NCGC00024493-01;NCGC00024493-03;NCGC00024494-02;AJ-51838;AN-44377;BR-47635;HY-41700;SC-09270;AB1006909;DB-048512;TC-066633;A0177;AM20090517;FT-0624399;ST24033146;D-Alanine, Vetec(TM) reagent grade, >=98%;38A692;C00133;M-3966;M02932;SR-01000597686;SR-01000597686-3;Z1259273326;UNII-1FU7983T0U component QNAYBMKLOCPYGJ-UWTATZPHSA-N;0C450B43-C901-4435-9E74-051222D815EA",,,,,,,,,,
"gulono-1,4-lactone","gulono-1,4-lactone",,,,,,,,,,
