BIOCHEMICAL NAME,24 hr,48 hr,72 hr
scyllo-inositol,1.28,0.56,0.4
myo-inositol hexakisphosphate,1.17,0.97,1.06
1-palmitoylglycerophosphoethanolamine,1.61,0.68,0.74
2-palmitoleoylglycerophosphoethanolamine,1.02,1,1.66
1-stearoylglycerophosphoethanolamine,1.4,0.69,1.17
1-oleoylglycerophosphoethanolamine,1.34,0.81,1.22
2-oleoylglycerophosphoethanolamine,1.01,1.42,1.33
1-arachidonoylglycerophosphoethanolamine,1.31,0.47,1.14
2-arachidonoylglycerophosphoethanolamine,0.98,0.87,1.54
2-docosapentaenoylglycerophosphoethanolamine,1.25,0.79,1.24
2-docosahexaenoylglycerophosphoethanolamine,1,0.94,1.71
1-myristoylglycerophosphocholine,1.15,1.27,2.23
2-myristoylglycerophosphocholine,1.5,1.5,2.14
1-palmitoylglycerophosphocholine,1.16,1.3,1.58
2-palmitoylglycerophosphocholine,1.43,1.45,2.1
1-palmitoleoylglycerophosphocholine,1.93,2.77,0.98
2-palmitoleoylglycerophosphocholine,0.99,0.96,1.99
1-stearoylglycerophosphocholine,1.08,1.28,1.61
1-oleoylglycerophosphocholine,1.3,1.28,1.62
2-oleoylglycerophosphocholine,1.22,1.22,1.4
1-linoleoylglycerophosphocholine,20.46,0.91,2.26
2-linoleoylglycerophosphocholine,1.82,0.9,1.48
2-arachidonoylglycerophosphocholine,1.08,1.13,2.1
2-docosapentaenoylglycerophosphocholine,2.82,0.85,1.57
2-docosahexaenoylglycerophosphocholine,1.22,0.87,2.24
1-palmitoylglycerophosphoinositol,1.35,1.49,2.13
1-stearoylglycerophosphoinositol,1.09,1.41,3.11
1-oleoylglycerophosphoinositol,1.54,2.02,2.15
1-arachidonoylglycerophosphoinositol,1.16,0.9,5.26
1-oleoylglycerophosphoserine,0.72,1.17,1.38
2-palmitoylglycerol,0.15,0.27,8.51
1-oleoylglycerol,0.54,0.09,0.7
sphinganine,1.18,1.13,1.57
sphingosine,1.41,1.09,1.47
palmitoyl sphingomyelin,1.05,0.74,0.74
stearoyl sphingomyelin,1.84,0.73,0.69
lathosterol,1.95,2.64,2.36
cholesterol,1.11,1.06,1.31
dihydrocholesterol,3.31,0.91,0.77
7-alpha-hydroxycholesterol,1.03,14.89,0.4
7-beta-hydroxycholesterol,0.86,1.73,0.2
xanthine,0.91,1.28,0.84
hypoxanthine,1,1.18,1.06
inosine,1.37,1.03,0.99
inosine 5'-monophosphate,1.44,1.2,0.84
adenine,0.74,1.16,1.02
adenosine,1.21,0.96,0.94
adenosine 5'-monophosphate,1.27,0.92,1.02
adenosine 5'-diphosphate,1.05,0.87,1.11
adenosine 5'-triphosphate,1.05,0.52,0.66
adenylosuccinate,1.39,1.24,0.79
guanine,0.53,1.28,1.3
guanosine,1.13,0.88,0.8
guanosine 5'- monophosphate,1.14,0.96,1.14
guanosine 5'-diphospho-fucose,1.04,0.8,0.73
N6-carbamoylthreonyladenosine,0.85,1.13,0.3
guanosine 5'-triphosphate,1.02,0.97,2.89
allantoin,0.9,1.2,0.78
cytidine,1.22,0.95,0.85
cytidine 5'-monophosphate,1.09,0.97,1.09
cytidine diphosphate,1.07,0.92,1.12
cytidine triphosphate,0.96,0.91,1.15
thymidine 5'-monophosphate,1.19,0.98,0.77
3-aminoisobutyrate,1.06,0.81,0.96
uracil,0.8,0.92,0.94
uridine,1.01,0.98,0.82
pseudouridine,1.09,0.96,1.12
5-methyluridine,0.61,0.29,0.55
uridine 5'-monophosphate,1.09,0.95,0.97
uridine 5'-diphosphate,1.1,0.92,1.07
uridine 5'-triphosphate,1,0.91,1.08
methylphosphate,1.11,0.72,0.95
"gulono-1,4-lactone",1.06,0.64,0.35
arabonate,1.16,1.05,0.54
biopterin,1.6,0.89,1.01
nicotinamide,1.11,0.89,0.89
nicotinamide adenine dinucleotide,1.11,0.98,0.91
nicotinamide adenine dinucleotide reduced,0.87,0.47,0.71
nicotinamide adenine dinucleotide phosphate,1.11,0.9,1.86
adenosine 5'diphosphoribose,0.76,0.95,1.67
pantothenate,1.08,0.86,0.8
coenzyme A,1.05,0.77,0.75
3'-dephosphocoenzyme A,13.84,0.14,0.98
acetyl CoA,1.89,1.02,0.86
flavin adenine dinucleotide,1.12,0.88,0.88
flavin mononucleotide,1.04,0.11,0.82
thiamin,1.02,0.89,1.88
pyridoxine,0.82,0.79,0.96
hippurate,0.98,0.87,0.99
glycerol 2-phosphate,1.13,1.26,1.05
phenol red,0.97,0.89,0.9
penicillin G,0.92,0.82,0.82
erythritol,0.98,0.84,0.77
