BIOCHEMICAL.NAME,A2780 vs C200
beta-hydroxyisovalerate,0.655013861
docosahexaenoate,1.032142914
asparagine,1.036143115
cholesterol,1.016530459
glucose 1-phosphate,1.055303585
aspartate,0.977369303
cysteine,1.027033714
threitol,0.533553616
isoleucylglycine,1.057671326
xylose,0.5367967
2-oleoylglycerol,1.840755939
isoleucylalanine,1.753079989
2-arachidonoylglycerophosphoinositol,0.62539908
1-oleoylglycerophosphoinositol,0.640605975
guanine,1.068048465
cytidine-5'-diphosphoethanolamine,0.674070434
isoleucylthreonine,1.699849579
adenosine 2'-monophosphate,1.376126193
agmatine,0.453507811
isoleucine,1.023590434
1-pentadecanoylglycerophosphocholine,0.55767034
N-acetylalanine,0.948844027
threonylleucine,1.434503174
glutamine-leucine,1.395378072
3-phosphoglycerate,1.462213277
urate,1.453092445
glutamate,1.021390604
1-arachidonoylglycerophosphoethanolamine,1.357769595
glucose,1.170702944
cytidine 5'-diphosphocholine,0.968347133
"1,2-dipalmitoylglycerol",1.07273473
2-oleoylglycerophosphoethanolamine,1.138739838
1-palmitoylglycerophosphoethanolamine,1.26007307
pyruvate,0.690370075
methylphosphate,0.985133212
phenylalanylalanine,1.463879755
beta-alanine,1.06440618
2-docosahexaenoylglycerophosphocholine,0.916531063
