Compound name,H1975-AZD9291  vs  H1975-DMSO,H1975-PF05  vs  H1975-DMSO,PC9-PF05  vs  PC9-DMSO,"HCC827-PF05
  vs  HCC827-DMSO"
2-Oxoisovaleric acid,N.A.,N.A.,N.A.,1
GDP,1.8,0.9,1,1.2
Lactic acid,0.3,0.4,0.7,0.7
ADP,1.9,0.8,0.9,1.1
GTP,0.9,0.7,1,1
Glyoxylate,N.A.,N.A.,N.A.,N.A.
ATP,0.8,0.7,1,1
Glycerol 3-phosphate,0.7,0.7,0.6,0.9
Glycolic acid,N.A.,N.A.,N.A.,N.A.
Pyruvic acid,0.4,0.3,1.4,0.6
N-Acetylglutamic acid,0.9,1.1,0.2,1
2-Hydroxyglutaric acid,0.5,0.4,0.5,0.5
Carbamoylphosphate,N.A.,N.A.,N.A.,N.A.
Succinic acid,0.8,0.6,0.8,0.7
Malic acid,0.5,0.6,0.7,0.6
2-Oxoglutaric acid,0.7,0.6,0.6,0.6
Fumaric acid,0.5,0.6,0.7,0.6
Citric acid,0.8,0.7,1,0.7
cis-Aconitic acid,0.8,0.7,1,0.7
Isocitric acid,0.9,0.8,1.1,0.8
Urea,0.8,0.8,0.8,0.9
Gly,1.2,1.4,1.6,1.8
Putrescine,0.6,0.5,0.9,0.8
Sarcosine,0.8,1.1,2.2,1.4
beta-Ala,1,0.6,1.8,0.9
Ala,0.8,0.9,0.5,1.7
"N,N-Dimethylglycine",N.A.,1,0.7,N.A.
gamma-Aminobutyric acid,1.1,N.A.,N.A.,1
Choline,2.1,11,N.A.,1.7
Ser,0.7,1.3,2.2,2.1
Carnosine,1.4,0.8,0.9,0.9
Creatinine,0.8,0.8,0.8,0.9
Pro,0.9,1.8,2.1,1.3
Val,1.1,1.7,2.4,2.2
Betaine,N.A.,7.2,N.A.,1.1
Thr,0.9,1.6,2.3,2
Homoserine,N.A.,N.A.,N.A.,N.A.
Betaine aldehyde,N.A.,N.A.,N.A.,N.A.
Cys,1.3,1.4,1<,1.1
Hydroxyproline,0.8,1.1,1.5,1.3
Creatine,1.1,0.9,0.5,1
Ile,1,1.4,2.1,1.8
Leu,1,1.5,2.1,1.9
Asn,0.8,1.2,2.1,1.7
Ornithine,1.1,1.2,1.4,2.1
Asp,1.3,1.2,1.8,1.3
Homocysteine,N.A.,N.A.,N.A.,N.A.
Adenine,1.1,1,0.9,0.9
Hypoxanthine,N.A.,1<,N.A.,N.A.
Spermidine,0.9,0.9,0.9,1
Gln,0.8,1.6,2.1,2.5
Lys,1.1,2,1.8,2.3
Glu,0.9,0.9,1.1,1
Met,1,1.4,2.3,2
Guanine,N.A.,N.A.,N.A.,N.A.
His,1,1.5,2.2,1.9
Carnitine,0.6,1.1,N.A.,1
Phe,1,1.6,2.2,1.9
Arg,0.9,1.4,1.5,1.4
Citrulline,0.8,1.2,1.6,1.6
Tyr,1,1.5,2.1,1.9
S-Adenosylhomocysteine,0.8,1.1,0.7,1
Spermine,1.2,1.2,0.7,1
Trp,1,1.5,2.1,1.8
Cystathionine,0.8,1.2,1.5,1.9
Adenosine,0.9,0.6,N.A.,0.9
Inosine,0.6,N.A.,N.A.,N.A.
Guanosine,0.9,1<,N.A.,1.4
Argininosuccinic acid,0.6,1.3,1.4,1
GSH,1.1,1,1.1,1
"glutathione, oxidized",0.9,0.8,1,0.9
S-Adenosylmethionine,0.9,1.1,1.1,1
