Biochemical,HCT116,MCF7
gamma-glutamylthreonine,1.329629144,1.368559125
arachidonate,1.118209337,1.614546688
isobutyrylcarnitine,1.425599549,1.24793165
2-palmitoylglycerol,1.727495051,1.027988185
myristoleate,1.485819988,1.145572029
docosahexaenoate,1.114386705,1.526995221
2-methylbutyroylcarnitine,1.410669294,1.204430862
docosapentaenoate,1.16841127,1.44135081
phenol red,1.402831136,1.184910857
15-methylpalmitate,1.125016234,1.44398238
myo-inositol,1.325765109,1.216283694
adenosine 2'-monophosphate,1.199185269,1.337348307
dihomo-linolenate,1.195591179,1.31694563
palmitoleate,1.473020379,1.060397338
xanthine,1.526814306,1.008183331
hippurate,1.384245482,1.1108595
2-hydroxystearate,1.400665318,1.076908809
adenosine 5'diphosphoribose,1.005206093,1.482764523
10-nonadecenoate,1.24292858,1.197464568
6'-sialyllactose,1.459430384,1.018834242
p-cresol sulfate,1.462898384,1.016348833
dihomo-linoleate,1.436542451,1.031834765
4-acetamidobutanoate,1.337132356,1.107456479
scyllo-inositol,1.296214262,1.135516598
penicillin G,1.324532425,1.107634859
serine,1.134356477,1.282386265
tiglyl carnitine,1.196205591,1.214191802
nonadecanoate,1.099846049,1.317461358
guanosine 5'- monophosphate,1.117380471,1.279103048
pyroglutamylvaline,1.302437761,1.090106574
N-acetylputrescine,1.33621072,1.043756946
heptanoate,1.181595421,1.179451091
prolylglycine,1.151539814,1.204294883
2-ethylhexanoate,1.225262527,1.125574897
urea,1.148464751,1.196384668
pantothenate,1.279218818,1.069842532
pelargonate,1.160641599,1.170127188
lathosterol,1.201975542,1.127495914
laurate,1.144476029,1.170366186
pyrophosphate,1.180389938,1.132796562
caprylate,1.134880405,1.171952043
undecanoate,1.217804948,1.084243434
cytidine 5'-monophosphate,1.131775733,1.16301729
palmitoyl sphingomyelin,1.274240455,1.028865082
phenylacetylglycine,1.08666543,1.206198705
caprate,1.169151996,1.116832915
phosphate,1.034444503,1.260476267
linoleate,1.252177359,1.04102358
margarate,1.05001449,1.233136514
creatinine,1.180745384,1.083723623
10-heptadecenoate,1.162802922,1.093883657
glycerol,1.078976461,1.178561068
3-hydroxybutyrate,1.075940433,1.178593702
17-methylstearate,1.219773908,1.034089309
N-formylmethionine,1.091121975,1.148502436
stearate,1.056366251,1.183312502
nicotinamide,1.094777962,1.125220086
cholesterol,1.067360708,1.146620055
3-(4-hydroxyphenyl)lactate,1.061611898,1.14188868
myristate,1.143527585,1.052870011
linolenate,1.156118115,1.017667721
palmitate,1.125977228,1.042998379
flavin adenine dinucleotide,1.06455347,1.035881692
4-guanidinobutanoate,1.000941345,1.092333268
coenzyme A,1.054408767,1.032001199
urate,1.009103123,1.041556864
fructose,1.020390623,1.011679666
valylglycine,1.003524637,1.003750436
kynurenine,0.984107176,0.978187296
N-acetylglutamate,0.96802544,0.976852888
cyclo(gly-phe),0.987524811,0.957343922
valine,0.994400587,0.945659818
N-acetyl-aspartyl-glutamate,0.994669276,0.941483523
methionine,0.983163802,0.949965898
phenylalanylserine,0.912075682,0.993641435
threitol,0.978782981,0.925572611
lactate,0.906605648,0.987344112
C-glycosyltryptophan,0.93800689,0.953541036
leucylglycine,0.898930756,0.990318013
pyroglutamine,0.928315007,0.952320593
guanosine,0.900823416,0.967215025
N-acetylornithine,0.994763192,0.870895569
phenylalanine,0.998203024,0.863738665
aspartylaspartate,0.975190805,0.875928213
leucylalanine,0.968105699,0.865386131
arabitol,0.947394801,0.883287769
glycylproline,0.877485607,0.951995994
N-acetylmethionine,0.943015652,0.873999701
threonylphenylalanine,0.868971826,0.944070214
creatine,0.891632504,0.908167073
isoleucylserine,0.957149039,0.845462833
uridine monophosphate,0.912664875,0.882201471
cytidine 5'-diphosphocholine,0.93031144,0.86164192
xylonate,0.922065195,0.868033071
beta-alanine,0.809603927,0.987461402
glycyltyrosine,0.890401782,0.890153895
inosine,0.883134869,0.891571689
hexanoylcarnitine,0.955624248,0.822653822
nicotinamide adenine dinucleotide,0.956260004,0.817820024
3-hydroxyisobutyrate,0.842294577,0.928403528
alanylphenylalanine,0.94768266,0.813886604
adenine,0.95470528,0.807166653
fumarate,0.991620904,0.774649425
glycerol 2-phosphate,0.879218344,0.872410522
erythritol,0.879700355,0.869018598
glycine,0.934676459,0.816415987
UDP-glucose,0.989978709,0.77012256
S-adenosylhomocysteine,0.901003335,0.845219755
betaine,0.891241762,0.853799826
tryptophan,0.993150885,0.765597029
deoxycarnitine,0.89382944,0.84899696
pipecolate,0.855466985,0.881013459
trans-4-hydroxyproline,0.876640854,0.859306854
tyrosylvaline,0.795478837,0.944278878
glycylglycine,0.992483573,0.75571557
N-acetylneuraminate,0.886517459,0.844989332
2-aminoadipate,0.931987454,0.80262403
glutamine,0.915935174,0.816443206
serylleucine,0.882886888,0.83979399
phenylalanylalanine,0.805468486,0.91590621
"glutamate, gamma-methyl ester",0.846130681,0.871455176
"adenosine 3',5'-cyclic monophosphate",0.839351921,0.875806815
valylasparagine,0.918939153,0.799752346
phenylalanylglutamate,0.818479951,0.895880041
valylserine,0.892270784,0.820674966
glycylisoleucine,0.909141944,0.801996694
glycylserine,0.940437368,0.756537096
glycylleucine,0.915416829,0.772566793
3-aminoisobutyrate,0.946347614,0.746418983
spermidine,0.78615577,0.896559241
2-aminobutyrate,0.985324467,0.712949749
leucylleucine,0.828426559,0.847377682
allantoin,0.851130528,0.820171542
serylphenyalanine,0.889525443,0.775634142
glycylphenylalanine,0.823826529,0.830074326
valylleucine,0.737206588,0.908539189
3-dehydrocarnitine,0.718401433,0.927896869
agmatine,0.825298651,0.790566705
asparagine,0.873197638,0.744751055
GSH,0.75147249,0.861083974
putrescine,0.7160181,0.899129375
malate,0.864411735,0.718149475
phytosphingosine,0.940891229,0.658154041
S-methylcysteine,0.93958013,0.641697463
phenylalanylleucine,0.677276324,0.871034508
3'-dephosphocoenzyme A,0.663690879,0.887674887
threonine,0.993542221,0.591513424
proline,0.849822707,0.687393025
acetylcarnitine,0.704508087,0.828800804
adenylosuccinate,0.894463644,0.649479038
alanylleucine,0.758542205,0.764755576
1-methylhistidine,0.960136487,0.602530459
thiamin,0.945904819,0.599655161
aspartate,0.974696409,0.581661902
sphinganine,0.633709762,0.853332042
cadaverine,0.902932461,0.594836784
phosphoethanolamine,0.915479967,0.586394053
glycerophosphoethanolamine,0.671677058,0.790498842
erythronate,0.926940504,0.572236574
alanylvaline,0.829585018,0.633869905
ornithine,0.830498698,0.611410015
gamma-aminobutyrate,0.558762568,0.866359018
cysteinylglycine,0.746615305,0.615237587
sedoheptulose 7-phosphate,0.467887348,0.952454391
"Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine",0.845989676,0.522075087
succinate,0.726287384,0.599595079
UDP-glucuronate,0.845016004,0.499281015
glutamate,0.810364637,0.491665501
argininosuccinate,0.913889822,0.424848494
1-oleoylglycerol,0.442045386,0.837903368
cytidine-5'-diphosphoethanolamine,0.816440863,0.431618262
glycerate,0.756816672,0.440890675
mannose-6-phosphate,0.423022901,0.782452446
AICA ribonucleotide,0.524402009,0.498288114
stearoylcarnitine,0.336851541,0.76400988
cysteine,0.657848073,0.323744221
N-acetylglucosamine 6-phosphate,0.903223876,0.231881268
nicotinamide adenine dinucleotide reduced,0.615630877,0.3254824
palmitoylcarnitine,0.218120916,0.591065396
oleoylcarnitine,0.205280241,0.575928368
glucose 6-phosphate,0.112964524,0.849749358
glucose 1-phosphate,0.107385521,0.83974359
