Metabolite,Cancer vs Control
carnitine,1.408
catechol sulfate,0.708
C-glycosyltryptophan,1.224
cinnamoylglycine,0.504
cis-aconitate,0.95
citramalate,1.011
citrate,1.399
creatine,2.631
cyanurate,1.247
cystathionine,1.181
cysteine,1.153
cytosine,0.506
daidzein,0.683
dehydroascorbate,1.053
diaminopimelate,1.27
dihydrobiopterin,0.793
dimethylarginine,1.078
dimethylglycine,1.29
equol,0.633
erythritol,1.058
erythronate,1.173
ethanolamine,0.932
ethylmalonate,1.322
fructose,1.137
fucose,1.114
fumarate,1.282
galactarate,1.863
galactose,1.021
gamma-aminobutyrate,0.794
genistein,0.659
gentisate,0.773
glucarate,1.475
gluconate,0.861
glucosamine,0.696
glucose,0.876
glucuronate,0.966
glutamate,0.749
glutamine,1.455
glutarate,0.757
glutaroyl carnitine,1.157
glycerol 3-phosphate,0.725
glycerophosphorylcholine,0.768
glycine,0.969
glycitein,0.836
glycolate,0.544
glycylproline,0.945
guanidine,1.14
guanine,0.801
guanosine,0.857
gulono-14-lactone,0.806
hexanoylglycine,0.96
hippurate,0.733
histidine,1.179
homostachydrine,0.948
homovanillate sulfate,0.812
hydroquinone beta-D-glucopyranoside,1.949
hydroxyisovaleroyl carnitine,0.829
hypotaurine,0.765
hypoxanthine,1.23
imidazole lactate,0.873
indoleacetate,0.998
indolelactate,0.912
inosine,0.936
isobutyrylglycine,0.883
isocitrate,1.123
isoleucine,0.52
isovalerate,0.84
isovalerylglycine,0.818
itaconate,1.28
kynurenate,0.649
leucine,0.821
levulinate,0.538
lysine,1.009
malate,1.395
malonylcarnitine,0.846
mandelate,0.646
mannitol,0.925
mannose,1.134
mesaconate,0.657
methionine,1.429
methylsuccinate,0.893
myo-inositol,1.428
N-(2-furoyl)glycine,1.192
N1-methyladenosine,0.925
N1-methylguanosine,0.919
N2-acetyllysine,0.873
N2N2-dimethylguanosine,0.876
N4-acetylcytidine,1.037
N6-carbamoylthreonyladenosine,0.938
N-acetylarginine,0.949
N-acetylasparagine,0.934
N-acetylaspartate,0.766
N-acetyl-beta-alanine,0.839
N-acetylglucosamine 6-sulfate,1.142
N-acetylglutamate,1.045
N-acetylglutamine,0.837
N-acetylglycine,1.591
N-acetylhistidine,0.902
N-acetylisoleucine,0.937
N-acetylmethionine,1.039
N-acetylneuraminate,1.002
N-acetylproline,1.379
N-acetylputrescine,1.003
N-acetylserine,1.303
N-acetylthreonine,0.875
N-carbamoylaspartate,1.117
N-carbamylglutamate,0.846
N-formylmethionine,0.686
N-glycolylneuraminate,1.72
nicotinamide,0.48
nicotinamide riboside,0.755
nicotinate,0.89
ornithine,0.864
orotate,0.916
pantothenate,0.927
p-cresol sulfate,0.974
phenylacetylglutamine,0.535
phenylacetylglycine,0.608
phenylalanine,0.877
phenylpropionylglycine,0.494
phenylpyruvate,1.255
phosphate,0.891
pinitol,0.943
pipecolate,0.925
pro-hydroxy-pro,0.99
proline,0.971
propionylcarnitine,1.368
propionylglycine,1.388
pseudouridine,0.974
putrescine,0.351
pyridoxate,1.115
pyroglutamine,0.984
pyrophosphate,1.454
pyruvate,0.995
quinate,0.928
quinolinate,1.934
raffinose,0.924
ribitol,1
riboflavin,0.786
ribonate,1.226
ribose,0.852
S-adenosylmethionine,0.822
sarcosine,2.036
scyllo-inositol,1.163
serine,1.035
sinapate,0.801
sorbitol,0.869
stachyose,0.878
succinate,0.845
succinylcarnitine,0.992
sucrose,1.223
syringic acid,1.337
tartarate,1.397
taurine,0.755
threitol,1.005
threonate,1.084
threonine,1.268
thymidine,1.016
thymine,0.793
tigloylglycine,0.753
trans-4-hydroxyproline,1.131
tricarballylate,1.096
triethanolamine,1.393
triethyleneglycol,0.56
trigonelline,1.054
tryptophan,1.235
tyramine,0.84
tyrosine,0.877
uracil,1.014
urate,0.91
urea,0.991
uridine,1.015
urocanate,0.899
valerylglycine,0.775
valine,0.711
vanillate,1.098
xanthine,0.846
xanthurenate,0.63
xylitol,1.172
xylonate,0.924
xylose,0.879
xylulose,1.019
