BIOCHEMICAL NAME,Tumor vs Normal
2-hydroxyglutarate,6.1632
2-hydroxyhippurate,0.469
2-hydroxyisobutyrate,0.5713
2-hydroxypalmitate,1.3833
2-isopropylmalate,0.7523
2-linoleoylglycerol,2.1319
2-linoleoylglycerophosphocholine,1.0862
2-linoleoylglycerophosphoethanolamine,0.3931
2-methoxyacetaminophen sulfate,N.A.
2-methylbutyrylcarnitine,0.3532
2-myristoylglycerophosphocholine,1.5214
2-oleoylglycerol,1.8401
2-oleoylglycerophosphocholine,0.7909
2-oleoylglycerophosphoethanolamine,0.0942
2-oleoylglycerophosphoserine,1.1182
2-palmitoleoylglycerophosphocholine,2.5282
2-palmitoylglycerol,1.1311
2-palmitoylglycerophosphocholine,0.6462
2-palmitoylglycerophosphoethanolamine,0.0387
2-phosphoglycerate,0.6332
2-stearoylglycerophosphocholine,0.2935
2-stearoylglycerophosphoethanolamine,0.0625
3-(4-hydroxyphenyl)lactate,1.118
3-(cystein-S-yl)acetaminophen,N.A.
3-(N-acetyl-L-cystein-S-yl) acetaminophen,0.1304
"3,4-dihydroxyphenethyleneglycol",0.3952
3-aminoisobutyrate,3.9547
3-carboxy-4-methyl-5-propyl-2-furanpropanoate,1.2849
3-dehydrocarnitine,0.9836
3'-dephosphocoenzyme A,0.7736
3-hydroxybutyrate,0.9494
3-hydroxydecanoate,0.8266
3-hydroxyhippurate,0.3072
3-hydroxyoctanoate,0.9483
3-indoxyl sulfate,0.5751
3-methyl-2-oxovalerate,0.8467
3-methylglutarylcarnitine,0.9342
3-methylhistidine,0.7015
3-phosphoglycerate,0.5927
3-ureidopropionate,1.2519
4-acetamidophenol,0.5653
4-acetaminophen sulfate,0.3577
"4-androsten-3beta,17beta-diol disulfate 1",0.8628
4-guanidinobutanoate,1.2845
4-hydroxybutyrate,3.1816
4-hydroxyglutamate,3.0714
4-hydroxyhippurate,0.3087
4-hydroxyphenylacetate,0.4565
4-methyl-2-oxopentanoate,1.1656
"5,6-dihydrouracil",1.8358
5-aminovalerate,1.0271
5-HETE,0.31
5-methyltetrahydrofolate,0.3178
5-methylthioadenosine,1.6546
5-methyluridine,0.8769
5-oxoETE,0.3423
5-oxoproline,0.845
6-keto prostaglandin F1alpha,1.0143
6-phosphogluconate,2.9616
6'-sialyllactose,2.7463
7-alpha-hydroxy-3-oxo-4-cholestenoate,3.2431
7-alpha-hydroxycholesterol,2.5171
7-beta-hydroxycholesterol,1.3786
acetylcarnitine,2.7887
Ac-Ser-Asp-Lys-Pro-OH,1.5147
adenine,1.5841
adenosine,0.646
adenosine 2'-monophosphate,0.5408
adenosine 3'-monophosphate,0.4923
adenosine 5'-monophosphate,1.8901
adenylosuccinate,0.9532
adipate,0.4245
adrenate,1.1344
agmatine,1.5632
alanine,0.7558
alanylalanine,1.2979
alanylglutamate,1.8296
alanylglycine,1.3007
alanylisoleucine,1.6513
alanylleucine,4.5864
alanylmethionine,2.3038
alanylphenylalanine,3.7019
alanylthreonine,1.7882
alanyltryptophan,1.5588
alanyltyrosine,2.23
alanylvaline,1.4668
allo-threonine,0.6826
alpha-glutamylglutamate,1.7656
alpha-glutamyltryptophan,1.6754
alpha-glutamyltyrosine,1.9829
alpha-hydroxyisovalerate,1.0748
alpha-tocopherol,8.9453
androsterone sulfate,0.7526
anserine,1.0084
arabitol,0.3702
arabonate,1.0711
arachidate,2.3026
arachidonate,0.3007
arginine,0.7068
argininosuccinate,0.5274
arginylleucine,2.9131
arginylmethionine,1.5131
arginylphenylalanine,2.7191
arginyltyrosine,1.5963
arginylvaline,1.3176
ascorbate,1.114
asparagine,0.3806
aspartate,0.4662
aspartate-glutamate,0.8865
aspartylleucine,2.7314
aspartylphenylalanine,1.8319
aspartyltryptophan,0.819
aspartylvaline,2.0344
atenolol,0.4168
azelate,1.1552
benzoate,0.8698
beta-alanine,4.3483
beta-hydroxypyruvate,1.0677
betaine,1.0044
beta-tocopherol,2.8951
"bilirubin (E,E)",1.6948
"bilirubin (Z,Z)",1.8831
butyrylcarnitine,1.4682
caprate,0.8274
caproate,0.8309
caprylate,0.9213
carnitine,1.2753
catechol sulfate,0.7833
celecoxib,0.6947
C-glycosyltryptophan,0.7998
chiro-inositol,0.4479
cholate,0.8479
cholesterol,1.1787
choline,0.6637
choline phosphate,1.2972
cinnamoylglycine,0.6859
cis-aconitate,1.8767
cis-vaccenate,1.6327
citalopram,1.6276
citramalate,0.334
citrate,3.3276
citrulline,1.3793
codeine,1.826
cortisol,0.2798
cortisone,0.3584
creatine,2.1089
creatinine,0.3273
cysteine,1.4831
cysteine-glutathione disulfide,2.9247
cysteinylglycine,10.3624
cystine,1.463
cytidine,0.5297
cytidine 5'-diphosphocholine,1.9566
cytidine 5'-monophosphate,2.2481
cytidine-3'-monophosphate,1.0653
"cytosine-2',3'-cyclic monophosphate",1.1487
deoxycarnitine,1.2702
dihomo-linoleate,2.6223
dihomo-linolenate,1.0937
dihydrocholesterol,1.2743
dimethylarginine (SDMA + ADMA),0.2951
dimethylglycine,1.084
docosadienoate,3.6483
docosahexaenoate,0.4018
docosapentaenoate (n3 DPA; 22:5n3),1.1044
docosapentaenoate (n6 DPA; 22:5n6),0.5835
docosatrienoate,2.6585
dodecanedioate,0.8259
eicosapentaenoate,0.4594
eicosenoate,4.9995
epinephrine,N.A.
ergothioneine,4.2204
erucate,3.0326
erythritol,1.4509
erythronate,0.8975
ethanolamine,0.4066
flavin adenine dinucleotide,0.2884
fructose,4.3012
fructose 1-phosphate,6.4329
fructose 6-phosphate,6.9369
fucose,0.8337
fumarate,0.2933
gabapentin,0.3615
galactose,1.6336
gamma-aminobutyrate,0.2597
gamma-glutamylcysteine,2.7931
gamma-glutamylglutamate,4.1979
gamma-glutamylglutamine,3.7399
gamma-glutamylisoleucine,0.6308
gamma-glutamylleucine,0.955
gamma-glutamylphenylalanine,0.795
gamma-glutamylvaline,1.133
gamma-tocopherol,3.9711
glucarate,1.1902
gluconate,0.2967
glucose,4.2097
glucose 1-phosphate,2.4391
glucose 6-phosphate,9.3556
glucuronate,0.3571
glutamate,1.5065
"glutamate, gamma-methyl ester",0.4346
glutamine,1.3682
glutarate,1.2632
glutarylcarnitine,0.7999
"glutathione, oxidized",6.607
GSH,15.8631
glycerate,0.8603
glycerol,1.0161
glycerol 2-phosphate,1.5942
glycerol 3-phosphate,0.8592
glycerophosphoethanolamine,0.4503
glycerophosphorylcholine,1.5828
glycine,0.855
glycocholenate sulfate,0.6906
glycolate,0.7121
glycolithocholate sulfate,0.7767
glycylglycine,0.3753
glycylisoleucine,0.8413
glycylleucine,1.1366
glycyllysine,1.0209
glycylmethionine,1.7793
glycylphenylalanine,1.7208
glycylproline,1.6823
glycylthreonine,0.3045
glycyltryptophan,1.536
glycyltyrosine,1.5022
glycylvaline,0.4014
guanidinoacetate,0.7839
guanine,0.6431
guanosine,1.8483
guanosine 5'- monophosphate,2.8539
"gulono-1,4-lactone",0.4925
heme,1.6975
hexanoylcarnitine,1.4947
hippurate,0.1007
histamine,1.8462
histidine,0.496
histidylleucine,3.0381
histidylmethionine,1.9139
histidylphenylalanine,2.1148
histidyltryptophan,1.2777
histidyltyrosine,1.3048
homocysteine,1.115
homoserine,1.4815
homostachydrine,1.2732
hydantoin-5-propionic acid,N.A.
hydrochlorothiazide,N.A.
hypotaurine,1.7183
hypoxanthine,0.5904
imidazole propionate,1.0148
indoleacetate,0.2794
indolelactate,0.9529
inosine,1.2696
inositol 1-phosphate,0.4004
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",2.467
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate",2.1663
isobutyrylcarnitine,0.6661
isoleucine,0.5547
isoleucylalanine,2.0966
isoleucylarginine,1.1814
isoleucylglutamate,1.2681
isoleucylglycine,0.806
isoleucylhistidine,0.6672
isoleucylisoleucine,2.4469
isoleucylmethionine,3.6855
isoleucylphenylalanine,3.4455
isoleucylserine,2.0057
isoleucyltryptophan,2.8343
isoleucyltyrosine,2.9575
isoleucylvaline,1.9496
isovalerylcarnitine,0.3093
kynurenine,7.9146
lactate,1.4991
laurate,0.7962
laurylcarnitine,1.1618
leucine,0.5885
leucylalanine,2.5677
leucylarginine,1.6497
leucylasparagine,2.1974
leucylglutamate,2.6726
leucylglycine,2.5476
leucylhistidine,0.9639
leucylleucine,3.5216
leucylmethionine,1.5444
leucylphenylalanine,1.8422
leucylserine,3.0817
leucyltryptophan,1.1528
leucyltyrosine,1.5156
lidocaine,1.3453
linoleate,1.3515
linolenate,1.678
lipitor,N.A.
L-urobilin,0.3268
lysine,0.6431
lysylleucine,2.5058
lysyllysine,1.1916
lysylmethionine,1.1247
lysyltyrosine,3.7429
malate,0.4938
malonylcarnitine,0.4097
maltohexaose,N.A.
maltopentaose,2.2366
maltose,12.9937
maltotetraose,8.3914
maltotriose,10.2093
mannitol,0.2616
mannose,2.1062
mannose-6-phosphate,7.5303
margarate,1.1657
metformin,0.7688
methionine,0.4882
methionylalanine,3.3639
methionylasparagine,1.6002
methionylaspartate,1.7921
methionylglutamate,1.7835
methionylglycine,2.0925
methionylleucine,2.5505
methionylphenylalanine,1.4522
methyl-alpha-glucopyranoside,4.615
methylphosphate,0.6534
metoprolol,0.7963
metoprolol acid metabolite,0.2995
myo-inositol,0.3254
myristate,0.9522
myristoleate,0.7157
myristoylcarnitine,1.7291
N1-Methyl-2-pyridone-5-carboxamide,0.693
N1-methyladenosine,0.385
N1-methylguanosine,0.2637
"N2,N2-dimethylguanosine",0.3445
N2-acetyllysine,2.5817
N2-methylguanosine,0.4071
N6-acetyllysine,0.2193
N6-carbamoylthreonyladenosine,0.5826
N-6-trimethyllysine,0.6301
N-acetylalanine,0.4498
N-acetylarginine,4.3233
N-acetylasparagine,2.3482
N-acetylaspartate,0.0785
N-acetyl-aspartyl-glutamate,0.2493
N-acetylglucosamine,0.605
N-acetylglucosamine 6-phosphate,1.9966
N-acetylglutamine,5.9249
N-acetylglycine,1.1524
N-acetylisoleucine,1.2094
N-acetylleucine,1.8608
N-acetylmethionine,2.3007
N-acetylneuraminate,2.4707
N-acetylornithine,1.1752
N-acetylphenylalanine,1.1902
N-acetylserine,0.5887
N-acetylthreonine,1.2444
N-acetyltryptophan,0.0902
N-acetyltyrosine,1.3418
N-acetylvaline,1.1003
naproxen,N.A.
nervonate,2.2917
nicotinamide,0.869
nicotinamide adenine dinucleotide,0.5685
nicotinamide adenine dinucleotide reduced,2.0098
nicotinamide ribonucleotide,0.6222
nicotinamide riboside,1.3019
nicotinate,1.0714
nicotinate adenine dinucleotide,N.A.
N-methylglutamate,0.4476
octanoylcarnitine,1.7873
oleate,1.5345
oleoylcarnitine,1.7818
ophthalmate,1.6118
ornithine,1.1866
p-acetamidophenylglucuronide,0.2213
palmitate,1.1464
palmitoleate,1.428
palmitoyl sphingomyelin,0.9342
palmitoylcarnitine,1.43
pantothenate,0.2153
paroxetine,1.1695
p-cresol sulfate,0.5543
pelargonate,0.8817
penicillin G,1.9824
pentadecanoate,1.2977
phenol red,0.5979
phenol sulfate,0.5436
phenylacetylglutamine,0.1057
phenylalanine,0.5908
phenylalanylalanine,7.2485
phenylalanylarginine,1.5711
phenylalanylaspartate,2.7089
phenylalanylglutamate,3.3922
phenylalanylglycine,2.4345
phenylalanylleucine,3.7126
phenylalanylmethionine,1.6341
phenylalanylphenylalanine,1.6303
phenylalanylproline,2.274
phenylalanylserine,3.2198
phenylalanyltryptophan,1.6134
phenylalanyltyrosine,1.7841
phenylalanylvaline,2.2608
phosphate,0.8045
phosphoenolpyruvate,0.4225
phosphoethanolamine,0.9158
phytosphingosine,0.823
pipecolate,1.3704
piperine,1.1304
pivaloylcarnitine,0.6787
pregnanediol-3-glucuronide,0.7525
pregnen-diol disulfate,0.7757
pro-hydroxy-pro,0.4529
proline,0.5036
prolylglycine,0.5363
prolylmethionine,2.0223
propionylcarnitine,0.8881
prostaglandin A2,0.5204
prostaglandin E2,0.716
pseudouridine,0.3211
putrescine,4.4311
pyridoxal,0.4362
pyridoxate,0.6611
pyroglutamine,3.6813
pyrophosphate,0.6754
quebrachitol,1.2396
quinate,0.4496
quinidine,0.5122
quinolinate,1.7254
ranitidine,0.1829
ribitol,1.1761
riboflavin,0.4592
ribose,1.2079
ribulose,1.6454
saccharopine,4.6618
S-adenosylhomocysteine,2.102
S-adenosylmethionine,1.2514
salicylate,N.A.
sarcosine,2.6522
scyllo-inositol,0.2372
sedoheptulose 7-phosphate,1.526
serine,0.3396
serylisoleucine,1.3465
serylleucine,4.2551
serylphenyalanine,2.7754
serylvaline,1.7443
S-methylcysteine,0.8273
sorbitol,2.6761
sorbitol 6-phosphate,1.4283
spermidine,1.6922
spermine,0.6775
sphinganine,1.4664
sphingosine,2.2262
squalene,0.793
stachydrine,1.2972
stearate,1.3068
stearidonate,1.9904
stearoylcarnitine,1.0967
streptomycin,1.1531
succinate,2.0186
succinylcarnitine,1.004
tartarate,0.1343
taurine,1.0944
testosterone,1.0152
theobromine,0.8599
threitol,0.7387
threonate,1.7891
threonine,0.3929
threonylglutamate,1.3135
threonylleucine,3.1228
threonylmethionine,1.8034
threonylphenylalanine,4.1684
threonylvaline,1.5494
thymidine,0.9981
thymine,0.8041
trans-4-hydroxyproline,1.0487
trans-urocanate,0.6713
triethyleneglycol,0.8841
trigonelline,0.4306
tryptophan,0.3098
tryptophan betaine,2.1907
tryptophylasparagine,2.078
tryptophylglutamate,1.66
tryptophylleucine,1.5703
tyrosine,0.5087
tyrosylalanine,2.0605
tyrosylglutamine,1.967
tyrosylglycine,1.3591
tyrosylhistidine,1.8556
tyrosylleucine,3.6297
tyrosyllysine,2.6367
tyrosylphenylalanine,1.7576
tyrosyltyrosine,1.685
tyrosylvaline,2.1111
undecanedioate,1.2526
uracil,0.6721
urate,0.7445
urea,0.5245
uridine,0.8996
uridine monophosphate,2.7754
valerylcarnitine,0.6101
valine,0.5469
valylalanine,1.8008
valylarginine,1.7081
valylasparagine,1.6378
valylaspartate,1.4029
valylglutamate,1.8444
valylglutamine,1.7246
valylglycine,0.8932
valylhistidine,1.0191
valylisoleucine,2.2102
valylleucine,4.1137
valyllysine,1.3025
valylmethionine,3.7477
valylphenylalanine,3.7486
valylserine,2.035
valyltryptophan,3.2007
valyltyrosine,3.2382
valylvaline,2.0477
vanillylmandelate,0.2527
venlafaxine,0.6931
VGAHAGEYGAEALER,2.5858
xanthine,0.6617
xanthosine,0.6022
xylitol,0.5469
xylonate,0.8965
xylose,0.2553
xylulose,1.6961
